 0.200   -6.00000  0.00000    -6.00000  0.00000    1.0000 0.0000   0.9998  0.0002   0.0002  0.0001   1.0000  0.0000   0.9998  0.0002   0.0002  0.0001    -6.00000  3000   500 191, 265
 0.200  -12.00000  0.00000   -12.00000  0.00000   -0.0084 0.2591   0.9997  0.0001   0.0001  0.0000  -0.0082  0.2591   0.9997  0.0001   0.0001  0.0000   -12.00000  3000   500 205, 267
 0.200  -24.00044  0.00113   -24.00044  0.00113   -0.0086 0.2464   0.9995  0.0002   0.0001  0.0000  -0.0091  0.2464   0.9995  0.0002   0.0001  0.0000   -24.00000  3000   500 190, 234
 0.900  -12.39777  0.01533   -12.39777  0.01533    1.0000 0.0000  -0.3333  0.0000   2.0000  0.0000   1.0000  0.0000  -0.3333  0.0000   0.6653  0.2227   -12.40000  3000   500 93, 38
 0.900  -17.60016  0.00026   -17.60016  0.00026   -0.0234 1.7027  -0.3333  0.0000   1.4999  0.0000  -0.0088  0.6678  -0.3333  0.0000   0.4973  0.1771   -17.60000  3000   500 108, 66
 0.900  -12.40000  0.00000   -12.40000  0.00000    1.0000 0.0000  -0.3333  0.0000   1.9997  0.0003   1.0000  0.0000  -0.3333  0.0000   0.6673  0.2221   -12.40000  3000   500 75, 36
 0.900  -34.04017  1.81736   -34.04017  1.81736   -0.0460 1.9276  -0.2389  0.0160   0.9800  0.1058  -0.0343  0.8399  -0.2389  0.0160   0.3255  0.1032   -34.08191  3000   500 253, 333
 0.200  -23.98853  0.08166   -23.98853  0.08166   -0.0080 0.2499   0.9998  0.0000   0.0000  0.0000  -0.0079  0.2499   0.9998  0.0000   0.0000  0.0000   -24.00000  1000   500 125, 208
 0.900  -26.58906 27.39718   -26.58906 27.39718   -0.0071 0.0872  -0.2468  0.0134   1.0072  0.0505  -0.0354  0.0663  -0.2468  0.0134   0.8023  0.0962   -34.08191  1000   500 -1, -1
 0.900  -33.41768  9.78091   -33.41768  9.78091    0.0323 1.7636  -0.2572  0.0109   1.0233  0.0911   0.0461  0.6576  -0.2572  0.0109   0.2892  0.0847   -34.08191  1000   500 -1, -1
 0.200  -23.99589  0.01684   -23.99589  0.01684   -0.0210 0.2366   0.9998  0.0001   0.0000  0.0000  -0.0210  0.2366   0.9998  0.0001   0.0000  0.0000   -24.00000  1000   500 111, 223
